iso_a3,country_name,study_count,centroid_lat,centroid_lon,gdp_year,gdp_current_usd,gdp_log10
UKR,Ukraine,35,49.0218337180698,31.4626755070525,2024,190741262414.705,11.280444652671521
CMR,Cameroon,32,5.68116800254081,12.733943970586,2024,53296694320.2057,10.726700273135114
CRI,Costa Rica,30,9.97613127767007,-84.1898695369301,2024,95350423176.5962,10.979322624837218
URY,Uruguay,30,-32.79134091527,-56.0252057322354,2024,80961511073.5797,10.908278605286155
KEN,Kenya,26,0.599448827120255,37.7962282730763,2024,120339557905.932,11.080408411681423
PER,Peru,25,-9.10714962593639,-74.4207415923271,2024,289221969062.941,11.461231278527174
VNM,Vietnam,25,16.5442974835414,106.346507813442,2024,476388230307.175,11.6779610232226
CZE,Czech Rep.,23,49.7379966835855,15.3194407108538,2024,347034062928.479,11.540372104807693
SWE,Sweden,22,62.3836560724311,16.2669501808867,2024,603715224265.798,11.780832127868148
HUN,Hungary,20,47.1659125090957,19.37926775879,2024,222722738925.641,11.34776455868558
PRI,Puerto Rico,20,18.2285799428627,-66.473068197259,2024,126029527033.705,11.100472306431126
AUT,Austria,19,47.592293441981,14.1104300681977,2024,534790720466.822,11.728183862903675
TUN,Tunisia,18,34.0889554756156,9.55612881022213,2024,51332285656.5422,10.71039060238513
GRC,Greece,17,39.0479595976467,22.9642854512933,2024,256238371778.118,11.408644166016266
ISR,Israel,17,31.4512550871465,34.9999509555773,2024,540379921261.681,11.732699203697035
MLI,Mali,17,17.3151390059405,-3.59047300380448,2024,26794747239.8805,10.428049664613708
PRY,Paraguay,17,-23.2089093473311,-58.443433000362,2024,44458118397.4445,10.647951078090832
ETH,Ethiopia,16,8.61440064916273,39.6097922793134,2024,149740297952.986,11.17533869295129
IRQ,Iraq,15,33.0096663987366,43.7736761009852,2024,279641257615.385,11.446601246590262
DNK,Denmark,14,55.9749821619331,10.0422117794558,2024,424524722037.047,11.627902986291733
GHA,Ghana,14,7.94769971488172,-1.21698963069079,2024,82308110386.4641,10.915442631354964
SRB,Serbia,14,44.2113198332037,20.8066062926809,2024,90097765959.1114,10.954714022458985
NAM,Namibia,13,-22.0696900150308,17.1950199598704,2024,13372354511.716,10.126207881564053
SVN,Slovenia,13,46.1158904650478,14.8005232442775,2024,72972015197.3859,10.863156339907867
UZB,Uzbekistan,12,41.7754007507999,63.3030925540232,2024,114965293466.611,11.060566752259195
VEN,Venezuela,12,7.12227408159656,-66.1705444152375,2024,119802963257.783,11.078467560211788
HKG,Hong Kong,11,22.3982609095881,114.113750106644,2024,406863396487.342,11.60944862025727
OMN,Oman,11,20.5857751251697,56.0621306388693,2024,107137198769.386,11.029940287034952
GIN,Guinea,10,10.4373187593583,-10.9342459987654,2024,25008678293.4084,10.398090739909337
HRV,Croatia,9,45.0758927659601,16.4010529479644,2024,92983810328.9088,10.96840733891002
GEO,Georgia,8,42.1729419874369,43.5242560197085,2024,34189423544.9955,10.533891778382495
LTU,Lithuania,8,55.3237700608105,23.8970998789754,2024,84869215513.3648,10.928750187804186
SVK,Slovakia,8,48.7112808146637,19.4689717853406,2024,140934076532.375,11.149016014121912
