id,match_type,user_supplied_name,resolved_name,status,acceptedScientificName,kingdom,phylum,family,genus,predicted_label,canonicalName,canonicalName_lower
27,genus,NA,Gigaspora,ACCEPTED,Gigaspora,Fungi,Glomeromycota,Gigasporaceae,NA,Presence,Gigaspora,gigaspora
27,genus,NA,Acaulospora,ACCEPTED,Acaulospora,Fungi,Glomeromycota,Acaulosporaceae,NA,Presence,Acaulospora,acaulospora
27,genus,NA,Microbiota,ACCEPTED,Microbiota,Plantae,Tracheophyta,Cupressaceae,NA,Presence,Microbiota,microbiota
27,genus,NA,Gliricidia,ACCEPTED,Gliricidia,Plantae,Tracheophyta,Fabaceae,NA,Presence,Gliricidia,gliricidia
28,species,puccinellia distans,Puccinellia distans,ACCEPTED,Puccinellia distans,Plantae,Tracheophyta,Poaceae,Puccinellia,Presence,NA,NA
28,genus,NA,Puccinellia,ACCEPTED,Puccinellia,Plantae,Tracheophyta,Poaceae,NA,Presence,Puccinellia,puccinellia
29,species,penicillium expansum,Penicillium expansum,ACCEPTED,Penicillium expansum,Fungi,Ascomycota,Aspergillaceae,Penicillium,Presence,NA,NA
29,species,sclerotinia minor,Sclerotinia minor,ACCEPTED,Sclerotinia minor,Fungi,Ascomycota,Sclerotiniaceae,Sclerotinia,Presence,NA,NA
29,genus,NA,Sarocladium,ACCEPTED,Sarocladium,Fungi,Ascomycota,Sarocladiaceae,NA,Presence,Sarocladium,sarocladium
29,genus,NA,Bipolaris,ACCEPTED,Bipolaris,Fungi,Ascomycota,Pleosporaceae,NA,Presence,Bipolaris,bipolaris
29,genus,NA,Penicillium,ACCEPTED,Penicillium,Fungi,Ascomycota,Aspergillaceae,NA,Presence,Penicillium,penicillium
29,genus,NA,Sclerotinia,ACCEPTED,Sclerotinia,Fungi,Ascomycota,Sclerotiniaceae,NA,Presence,Sclerotinia,sclerotinia
30,species,nigrospora oryzae,Nigrospora oryzae,ACCEPTED,Nigrospora oryzae,Fungi,Ascomycota,Trichosphaeriaceae,Nigrospora,Presence,NA,NA
30,species,zasmidium musae,Zasmidium musae,ACCEPTED,Zasmidium musae,Fungi,Ascomycota,Mycosphaerellaceae,Zasmidium,Presence,NA,NA
30,genus,NA,Nigrospora,ACCEPTED,Nigrospora,Fungi,Ascomycota,Trichosphaeriaceae,NA,Presence,Nigrospora,nigrospora
30,genus,NA,Pestalotiopsis,ACCEPTED,Pestalotiopsis,Fungi,Ascomycota,Pestalotiopsidaceae,NA,Presence,Pestalotiopsis,pestalotiopsis
30,genus,NA,Zasmidium,ACCEPTED,Zasmidium,Fungi,Ascomycota,Mycosphaerellaceae,NA,Presence,Zasmidium,zasmidium
31,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,species,herbertus herpocladioides,Herbertus herpocladioides,ACCEPTED,Herbertus herpocladioides,Plantae,Marchantiophyta,Herbertaceae,Herbertus,Presence,NA,NA
32,species,alternaria citriarbusti,Alternaria citriarbusti,ACCEPTED,Alternaria citriarbusti,Fungi,Ascomycota,Pleosporaceae,Alternaria,Presence,NA,NA
32,species,candida albicans,Candida albicans,ACCEPTED,Candida albicans,Fungi,Ascomycota,Debaryomycetaceae,Candida,Presence,NA,NA
32,genus,NA,Herbertus,ACCEPTED,Herbertus,Plantae,Marchantiophyta,Herbertaceae,NA,Presence,Herbertus,herbertus
32,genus,NA,Alternaria,ACCEPTED,Alternaria,Fungi,Ascomycota,Pleosporaceae,NA,Presence,Alternaria,alternaria
32,genus,NA,Candida,ACCEPTED,Candida,Fungi,Ascomycota,Debaryomycetaceae,NA,Presence,Candida,candida
33,species,atriplex canescens,Atriplex canescens,ACCEPTED,Atriplex canescens,Plantae,Tracheophyta,Amaranthaceae,Atriplex,Presence,NA,NA
